Row Labels,Sum of Semi-durable goods: Total CP NSA £m,Sum of Services :Total CVM NAYear SA £m,Sum of Services: Total CVM NAYear NSA £m,Sum of Services: Total CP SA £m,Sum of Services: Total CP NSA £m,Sum of Non-durable goods :Total CVM NAYear SA £m,Sum of Non-durable goods: Total CVM NAYear NSA £m,Sum of Non-durable goods: Total CP SA £m,Sum of Semi-durable goods :Total CVM NAYear SA £m,Sum of Semi-durable goods: Total CVM NAYear NSA £m,Sum of Semi-durable goods: Total CP SA £m,Sum of Durable goods: Total IDEF NSA 2019=100,Sum of Services: Total IDEF SA 2019=100,Sum of Services: Total IDEF NSA 2019=100,Sum of Non-durable goods: Total IDEF SA 2019=100,Sum of Non-durable goods: Total IDEF NSA 2019=100,Sum of Total goods: Total IDEF SA 2019=100,Sum of Total goods: Total IDEF NSA 2019=100,Sum of Durable goods: Total IDEF SA 2019=100,Sum of Semi-durable goods: Total IDEF SA 2019=100,Sum of Semi-durable goods: Total IDEF NSA 2019=100,Sum of Total goods: 03 Clothing and footwear CP NSA £m,Sum of Total goods: 07 Transport CP NSA £m,Sum of Total goods: 06 Health CP NSA £m,Sum of Total goods: 05 Furnishings; household equipment etc CP NSA £m,Sum of Total goods: 04 Housing; water; electricity; gas and other fuels CP NSA £m,Sum of Total goods: 12 Miscellaneous goods and services CP NSA £m,Sum of Total goods: 09 Recreation and culture CP NSA £m,Sum of Total goods: 08 Communication CP NSA £m,Sum of Total goods: 06 Health CVM NAYear SA £m,Sum of Total goods: 05 Furnishings; household equipment etc CVM NAYear SA £m,Sum of Total goods: 04 Housing; water; electricity; gas and other fuels CVM NAYear SA £m,Sum of Total goods: 03 Clothing and footwear CVM NAYear SA £m,Sum of Total goods: 12 Miscellaneous goods and services CVM NAYear SA £m,Sum of Total goods: 09 Recreation and culture CVM NAYear SA £m,Sum of Total goods: 08 Communication CVM NAYear SA £m,Sum of Total goods: 07 Transport CVM NAYear SA £m,Sum of Total goods: 05 Furnishings; household equipment etc CP SA £m,Sum of Total goods: 04 Housing; water; electricity; gas and other fuels CP SA £m,Sum of Total goods: 03 Clothing and footwear CP SA £m,Sum of Total goods: 06 Health CP SA £m,Sum of Total goods: 08 Communication CP SA £m,Sum of Total goods: 07 Transport CP SA £m,Sum of Total goods: 12 Miscellaneous goods and services CP SA £m,Sum of Total goods: 09 Recreation and culture CP SA £m,Sum of Total goods: 08 Communication CVM NAYear NSA £m,Sum of Total goods: 07 Transport CVM NAYear NSA £m,Sum of Total goods: 06 Health CVM NAYear NSA £m,Sum of Total goods: 05 Furnishings; household equipment etc CVM NAYear NSA £m,Sum of Total goods: 12 Miscellaneous goods and services CVM NAYear NSA £m,Sum of Total goods: 09 Recreation and culture CVM NAYear NSA £m,Sum of Total goods: 04 Housing; water; electricity; gas and other fuels CVM NAYear NSA £m,Sum of Total goods: 03 Clothing and footwear CVM NAYear NSA £m,Sum of Total goods: 04 Housing;water; electricity; gas and other fuels IDEF SA 2019=100,Sum of Total goods: 03 Clothing and footwear IDEF SA 2019=100,Sum of Total goods: 07 Transport IDEF SA 2019=100,Sum of Total goods: 06 Health IDEF SA 2019=100,Sum of Total goods: 05 Furnishings; household equipment etc IDEF SA 2019=100,Sum of Total goods: 12 Miscellaneous goods and services IDEF SA 2019=100,Sum of Total goods: 09 Recreation and culture IDEF SA 2019=100,Sum of Total goods: 08 Communication IDEF SA 2019=100,Sum of Total goods: 06 Health IDEF NSA 2019=100,Sum of Total goods: 05 Furnishings; household equipment etc IDEF NSA 2019=100,Sum of Total goods:04 Housing;water;electricity; gas and other fuels IDEF NSA 2019=100,Sum of Total goods: 03 Clothing and footwear IDEF NSA 2019=100,Sum of Total goods: 12 Miscellaneous goods and services IDEF NSA 2019=100,Sum of Total goods: 09 Recreation and culture IDEF NSA 2019=100,Sum of Total goods: 08 Communication IDEF NSA 2019=100,Sum of Total goods: 07 Transport IDEF NSA 2019=100,Sum of Durable goods: Total CP NSA £m,Sum of Non-durable goods: Total CP NSA £m,Sum of Total goods :Total CVM NAYear SA £m,Sum of Total goods: Total CVM NAYear NSA £m,Sum of Total goods: Total CP SA £m,Sum of Total goods: Total CP NSA £m,Sum of Durable goods :Total CVM NAYear SA £m,Sum of Durable goods: Total CVM NAYear NSA £m,Sum of Durable goods: Total CP SA £m
1997,55127,501359,501359,344205,344205,252190,252190,143678,51190,51190,55127,118.1,68.7,68.7,57,57,79,79,118.1,107.7,107.7,28523,50108,3760,30059,18073,11959,36818,1286,4224,34462,48046,26361,15016,22413,1300,74285,30059,18073,28523,3760,1286,50108,11959,36818,1300,74285,4224,34462,15016,22413,48046,26361,37.6,108.2,67.5,89,87.2,79.6,164.3,98.9,89,87.2,37.6,108.2,79.6,164.3,98.9,67.5,65693,143678,334786,334786,264498,264498,55609,55609,65693
1998,60337,514908,514908,363133,363133,256077,256077,147941,56076,56076,60337,114.5,70.5,70.5,57.8,57.8,78.9,78.9,114.5,107.6,107.6,30340,52751,3877,32540,17664,12936,39382,2002,4179,37342,48084,27987,15663,25315,2058,77188,32540,17664,30340,3877,2002,52751,12936,39382,2058,77188,4179,37342,15663,25315,48084,27987,36.7,108.4,68.3,92.8,87.1,82.6,155.6,97.3,92.8,87.1,36.7,108.4,82.6,155.6,97.3,68.3,69882,147941,352331,352331,278160,278160,61015,61015,69882
1999,63848,531104,531104,379272,379272,258724,258724,152940,60333,60333,63848,109.9,71.4,71.4,59.1,59.1,78.7,78.7,109.9,105.8,105.8,31515,55933,4025,33566,17188,13977,43614,2316,4273,38845,46630,29465,16630,29860,2467,80190,33566,17188,31515,4025,2316,55933,13977,43614,2467,80190,4273,38845,16630,29860,46630,29465,36.9,107,69.8,94.2,86.4,84,146.1,93.9,94.2,86.4,36.9,107,84,146.1,93.9,69.8,74526,152940,369962,369962,291314,291314,67833,67833,74526
2000,67264,553178,553178,399219,399219,261583,261583,157571,65742,65742,67264,105.1,72.2,72.2,60.2,60.2,78,78,105.1,102.3,102.3,33571,58203,4287,35142,18040,14389,46183,2875,4495,41799,49164,32465,17462,32976,3209,82361,35142,18040,33571,4287,2875,58203,14389,46183,3209,82361,4495,41799,17462,32976,49164,32465,36.7,103.4,70.7,95.4,84.1,82.4,140.1,89.6,95.4,84.1,36.7,103.4,82.4,140.1,89.6,70.7,77489,157571,387648,387648,302324,302324,73761,73761,77489
2001,70262,561886,561886,410818,410818,263871,263871,161250,70187,70187,70262,101.9,73.1,73.1,61.1,61.1,77.5,77.5,101.9,100.1,100.1,35140,62136,4652,38014,17963,15272,48624,3059,4699,45501,48447,35237,18447,35694,3675,90540,38014,17963,35140,4652,3059,62136,15272,48624,3675,90540,4699,45501,18447,35694,48447,35237,37.1,99.7,68.6,99,83.5,82.8,136.2,83.2,99,83.5,37.1,99.7,82.8,136.2,83.2,68.6,85168,161250,408463,408463,316680,316680,83573,83573,85168
2002,74587,574053,574053,425582,425582,269258,269258,164199,76369,76369,74587,100.9,74.1,74.1,61,61,76.8,76.8,100.9,97.7,97.7,38039,61762,5214,39287,18302,16278,50632,2909,5200,47177,48323,39406,19891,38258,3469,90668,39287,18302,38039,5214,2909,61762,16278,50632,3469,90668,5200,47177,19891,38258,48323,39406,37.9,96.5,68.1,100.3,83.3,81.8,132.3,83.9,100.3,83.3,37.9,96.5,81.8,132.3,83.9,68.1,86491,164199,423473,423473,325277,325277,85688,85688,86491
2003,78578,590963,590963,444424,444424,276522,276522,171077,81309,81309,78578,100,75.2,75.2,61.9,61.9,77,77,100,96.6,96.6,40454,64897,5507,40032,18578,17454,52800,3107,5341,48605,47814,41779,21303,41546,3683,92813,40032,18578,40454,5507,3107,64897,17454,52800,3683,92813,5341,48605,21303,41546,47814,41779,38.9,96.8,69.9,103.1,82.4,81.9,127.1,84.4,103.1,82.4,38.9,96.8,81.9,127.1,84.4,69.9,90311,171077,441587,441587,339966,339966,90305,90305,90311
2004,79604,606732,606732,470325,470325,283919,283919,178677,83557,83557,79604,99.1,77.5,77.5,62.9,62.9,77.2,77.2,99.1,95.3,95.3,41343,66151,5184,40247,21743,19053,55392,3981,5052,49231,52631,42969,23492,45352,4772,91620,40247,21743,41343,5184,3981,66151,19053,55392,4772,91620,5052,49231,23492,45352,52631,42969,41.3,96.2,72.2,102.6,81.8,81.1,122.1,83.4,102.6,81.8,41.3,96.2,81.1,122.1,83.4,72.2,93230,178677,455230,455230,351511,351511,94059,94059,93230
2005,80369,629502,629502,500442,500442,284446,284446,184928,85746,85746,80369,96.6,79.5,79.5,65,65,77.7,77.7,96.6,93.7,93.7,42631,69070,4320,40962,23405,18890,55734,4226,4229,50579,50286,44753,23423,47938,5204,92761,40962,23405,42631,4320,4226,69070,18890,55734,5204,92761,4229,50579,23423,47938,50286,44753,46.5,95.3,74.5,102.2,81,80.6,116.3,81.2,102.2,81,46.5,95.3,80.6,116.3,81.2,74.5,94950,184928,463771,463771,360247,360247,98274,98274,94950
2006,83788,630303,630303,518587,518587,283040,283040,194827,89882,89882,83788,94.6,82.3,82.3,68.8,68.8,79.4,79.4,94.6,93.2,93.2,44390,70426,4065,42620,27852,20085,57190,4247,4370,52778,49117,46584,24239,51117,5243,92499,42620,27852,44390,4065,4247,70426,20085,57190,5243,92499,4370,52778,24239,51117,49117,46584,56.7,95.3,76.1,93,80.8,82.9,111.9,81,93,80.8,56.7,95.3,82.9,111.9,81,76.1,97128,194827,473012,473012,375743,375743,102637,102637,97128
2007,87585,653187,653187,546591,546591,287792,287792,204483,93718,93718,87585,92.9,83.7,83.7,71.1,71.1,80.4,80.4,92.9,93.5,93.5,45514,73752,6689,44993,28737,21381,59066,4142,6963,55012,47345,47611,25050,54741,5313,95791,44993,28737,45514,6689,4142,73752,21381,59066,5313,95791,6963,55012,25050,54741,47345,47611,60.7,95.6,77,96.1,81.8,85.4,107.9,78,96.1,81.8,60.7,95.6,85.4,107.9,78,77,99174,204483,486531,486531,391242,391242,106749,106749,99174
2008,88463,651027,651027,562753,562753,282368,282368,218061,95993,95993,88463,90.6,86.4,86.4,77.2,77.2,83.2,83.2,90.6,92.2,92.2,47289,76065,6507,42727,33144,21243,59112,3922,6716,51250,46938,50731,24144,56940,5165,93979,42727,33144,47289,6507,3922,76065,21243,59112,5165,93979,6716,51250,24144,56940,46938,50731,70.6,93.2,80.9,96.9,83.4,88,103.8,75.9,96.9,83.4,70.6,93.2,88,103.8,75.9,80.9,95938,218061,483457,483457,402462,402462,105948,105948,95938
2009,87550,634609,634609,545021,545021,271701,271701,218211,96776,96776,87550,91.3,85.9,85.9,80.3,80.3,84.9,84.9,91.3,90.5,90.5,47797,71744,5859,40984,33317,21215,57254,3833,6185,47480,44404,53290,23287,55887,4998,90186,40984,33317,47797,5859,3833,71744,21215,57254,4998,90186,6185,47480,23287,55887,44404,53290,75,89.7,79.6,94.7,86.3,91.1,102.4,76.7,94.7,86.3,75,89.7,91.1,102.4,76.7,79.6,93512,218211,470531,470531,399273,399273,102367,102367,93512
2010,90749,654882,654882,560377,560377,272293,272293,227125,98967,98967,90749,93.9,85.6,85.6,83.4,83.4,87.4,87.4,93.9,91.7,91.7,48994,74576,6854,42916,34625,23345,59864,3796,7145,48427,47109,53507,24870,58671,4716,84377,42916,34625,48994,6854,3796,74576,23345,59864,4716,84377,7145,48427,24870,58671,47109,53507,73.5,91.6,88.4,95.9,88.6,93.9,102,80.5,95.9,88.6,73.5,91.6,93.9,102,80.5,88.4,95213,227125,472408,472408,413087,413087,101419,101419,95213
2011,92625,659500,659500,582041,582041,267300,267300,240597,98407,98407,92625,95.3,88.3,88.3,90,90,92,92,95.3,94.1,94.1,51423,77785,7034,43383,34140,23326,58845,4423,7426,46816,42518,54188,24065,58993,5282,81774,43383,34140,51423,7034,4423,77785,23326,58845,5282,81774,7426,46816,24065,58993,42518,54188,80.3,94.9,95.1,94.7,92.7,96.9,99.7,83.7,94.7,92.7,80.3,94.9,96.9,99.7,83.7,95.1,95662,240597,465966,465966,428884,428884,100403,100403,95662
2012,95243,675237,675237,607339,607339,267722,267722,248546,100115,100115,95243,94.4,89.9,89.9,92.8,92.8,93.7,93.7,94.4,95.1,95.1,53052,79188,8347,44315,38215,25092,56302,5294,8604,46526,44429,55286,25198,57355,6103,83700,44315,38215,53052,8347,5294,79188,25092,56302,6103,83700,8604,46526,25198,57355,44429,55286,86,96,94.6,97,95.2,99.6,98.2,86.7,97,95.2,86,96,99.6,98.2,86.7,94.6,96777,248546,470288,470288,440566,440566,102491,102491,96777
2013,102232,693480,693480,638205,638205,268839,268839,256959,106156,106156,102232,93.4,92,92,95.6,95.6,95.2,95.2,93.4,96.3,96.3,57329,84482,10653,44913,40245,26310,58339,5400,11013,46977,43975,59001,26227,59357,6064,90092,44913,40245,57329,10653,5400,84482,26310,58339,6064,90092,11013,46977,26227,59357,43975,59001,91.5,97.2,93.8,96.7,95.6,100.3,98.3,89.1,96.7,95.6,91.5,97.2,100.3,98.3,89.1,93.8,103772,256959,486169,486169,462963,462963,111062,111062,103772
2014,102762,723677,723677,678300,678300,266122,266122,255840,106510,106510,102762,93.7,93.7,93.7,96.1,96.1,95.6,95.6,93.7,96.5,96.5,58110,88981,11083,47038,36873,28695,59119,4025,11322,48993,38958,59824,28803,59993,4473,95743,47038,36873,58110,11083,4025,88981,28695,59119,4473,95743,11322,48993,28803,59993,38958,59824,94.6,97.1,92.9,97.9,96,99.6,98.5,90,97.9,96,94.6,97.1,99.6,98.5,90,92.9,111339,255840,491455,491455,469941,469941,118864,118864,111339
2015,108914,738419,738419,701284,701284,269712,269712,251232,113127,113127,108914,92.6,95,95,93.1,93.1,93.7,93.7,92.6,96.3,96.3,61191,87508,11014,51028,37204,31805,61463,4382,11132,53202,40684,63075,32106,63808,4809,98948,51028,37204,61191,11014,4382,87508,31805,61463,4809,98948,11132,53202,32106,63808,40684,63075,91.4,97,88.4,98.9,95.9,99.1,96.3,91.1,98.9,95.9,91.4,97,99.1,96.3,91.1,88.4,118227,251232,510307,510307,478373,478373,127609,127609,118227
2016,113890,764297,764297,739011,739011,281637,281637,258696,118174,118174,113890,93.1,96.7,96.7,91.9,91.9,93.2,93.2,93.1,96.4,96.4,63753,92212,11063,51846,37739,33329,62736,7401,11116,54553,42588,65438,33988,65663,7894,104075,51846,37739,63753,11063,7401,92212,33329,62736,7894,104075,11116,54553,33988,65663,42588,65438,88.6,97.4,88.6,99.5,95,98.1,95.5,93.8,99.5,95,88.6,97.4,98.1,95.5,93.8,88.6,125489,258696,534455,534455,498075,498075,134808,134808,125489
2017,121261,781989,781989,761179,761179,287846,287846,273415,123823,123823,121261,95.5,97.3,97.3,95,95,95.8,95.8,95.5,97.9,97.9,64817,93096,11609,56828,37003,34578,70538,6543,11972,58284,40365,65230,35085,72248,6863,101122,56828,37003,64817,11609,6543,93096,34578,70538,6863,101122,11972,58284,35085,72248,40365,65230,91.7,99.4,92.1,97,97.5,98.6,97.6,95.3,97,97.5,91.7,99.4,98.6,97.6,95.3,92.1,127336,273415,544975,544975,522012,522012,133366,133366,127336
2018,123877,796535,796535,786876,786876,294453,294453,288612,124324,124324,123877,97.4,98.8,98.8,98,98,98.2,98.2,97.4,99.6,99.6,66416,96884,12332,59559,39769,36484,71694,6556,12547,60105,40947,66050,37009,72315,6807,100564,59559,39769,66416,12332,6556,96884,36484,71694,6807,100564,12547,60105,37009,72315,40947,66050,97.1,100.6,96.3,98.3,99.1,98.6,99.1,96.3,98.3,99.1,97.1,100.6,98.6,99.1,96.3,96.3,130613,288612,552788,552788,543102,543102,134117,134117,130613
2019,131728,804549,804549,804549,804549,292591,292591,292591,131728,131728,131728,100,100,100,100,100,100,100,100,100,100,68979,100036,13027,61207,38718,37883,75317,6369,13027,61207,38718,68979,37883,75317,6369,100036,61207,38718,68979,13027,6369,100036,37883,75317,6369,100036,13027,61207,37883,75317,38718,68979,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,134513,292591,558832,558832,558832,558832,134513,134513,134513
2020,112714,668920,668920,672687,672687,296483,296483,296407,113052,113052,112714,102.4,100.6,100.6,100,100,100.5,100.5,102.4,99.7,99.7,55045,80196,12455,64144,38550,32599,73430,6398,12206,64220,39927,55630,32122,72645,6173,79535,64144,38550,55045,12455,6398,80196,32599,73430,6173,79535,12206,64220,32122,72645,39927,55630,96.6,98.9,100.8,102,99.9,101.5,101.1,103.6,102,99.9,96.6,98.9,101.5,101.1,103.6,100.8,126615,296407,533192,533192,535736,535736,123657,123657,126615
2021,127351,722544,722544,745634,745634,300840,300840,309685,125840,125840,127351,107.8,103.2,103.2,102.9,102.9,103.7,103.7,107.8,101.2,101.2,64119,93412,12658,69153,41102,35700,77096,6467,12411,66567,40781,64340,34770,73971,6147,85188,69153,41102,64119,12658,6467,93412,35700,77096,6147,85188,12411,66567,34770,73971,40781,64340,100.8,99.7,109.7,102,103.9,102.7,104.2,105.2,102,103.9,100.8,99.7,102.7,104.2,105.2,109.7,137861,309685,554512,554512,574897,574897,127832,127832,137861
1997 Q1,11955,123575,119463,83837,80818,63152,63543,35821,12311,11117,13394,121.6,67.9,67.6,56.7,56.6,78.9,79.3,117.6,108.8,107.6,5875,11847,944,7406,5755,2599,8962,244,1095,8765,12150,6301,3638,5532,245,17379,7626,4628,6950,960,245,11404,2875,9250,245,17908,1078,8546,3298,5248,15122,5436,38.1,110.3,65.6,87.7,87,79,167.2,100,87.6,86.7,38.1,108,78.8,170.8,99.6,66.2,15889,35934,82080,80434,64787,63778,13236,13068,15572
